short_name,long_name,overall,potential,age,height_cm,weight_kg,club_name,league_name,club_position,nationality,preferred_foot,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,pace,shooting,passing,dribbling,defending,physic
Gustavo Lobateiro,Gustavo Rafael Lobateiro Gomes,72,72,21,180,76,Internacional,Campeonato Brasileiro Série A,SUB,Brazil,Left,5,3,High/Low,Normal (170-185),No,5300000,77,65,68,72,33,60
Evandro Rochedo,Evandro Sérgio Rochedo Paulino,72,72,25,187,82,Clube Atlético Mineiro,Campeonato Brasileiro Série A,SUB,Brazil,Right,4,3,Medium/Medium,Normal (185+),No,4700000,55,75,60,70,36,64
Santi da Bruma,Santiago André da Bruma Reis,72,72,25,172,67,Bahia,Campeonato Brasileiro Série A,RW,Brazil,Right,5,3,High/Low,Lean (170-185),No,4900000,86,70,73,77,37,58
André Milazisco,André Mikael Milazar Santoso,72,72,25,188,85,São Paulo,Campeonato Brasileiro Série A,SUB,Brazil,Left,1,1,Medium/Medium,Normal (185+),No,3600000,,,,,,
Teixe Gaúcho,Jorge Pietro Teixeira Lima,72,72,21,188,79,Cuiabá,Campeonato Brasileiro Série A,LCB,Brazil,Right,3,2,Medium/Medium,Normal (185+),No,4600000,73,50,63,67,71,75
Alminho Boas,Alam Cristian Boas Anjos,72,72,25,180,75,Clube Atlético Mineiro,Campeonato Brasileiro Série A,SUB,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4100000,60,39,62,66,69,76
Flávio Rebeilo,Flávio Raphael Rebeilo Mestres,72,72,29,175,69,Santos,Campeonato Brasileiro Série A,LB,Brazil,Left,3,3,Medium/Medium,Lean (170-185),No,4000000,79,44,61,71,68,62
Tony Muttinho,Tony Josimar Mutto Abrão,72,72,25,183,80,Fortaleza,Campeonato Brasileiro Série A,RB,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4600000,69,48,64,64,70,71
Durval Dutría,Durval Murilo Dutría Pereira,72,72,29,177,76,Cuiabá,Campeonato Brasileiro Série A,CDM,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4400000,68,69,70,71,69,76
Deiverson Kaio,Deiverson Breno Kaio de Freitas,72,72,37,174,74,Flamengo,Campeonato Brasileiro Série A,SUB,Brazil,Left,5,2,Medium/Medium,Normal (170-185),No,1400000,81,71,71,75,44,59
Édundo Oliveira,Éder Marvin Oliveira Simão,72,72,29,183,79,RB Bragantino,Campeonato Brasileiro Série A,SUB,Brazil,Right,2,2,Medium/Medium,Normal (170-185),No,3800000,56,46,59,50,73,75
Vanderleiton,M. Vanderlei Paulino Kenedy,72,72,21,180,77,Santos,Campeonato Brasileiro Série A,LCB,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4600000,62,46,57,56,72,68
Igor Madinha,Igor Paolo Madinha Eustáquio,72,72,25,174,70,São Paulo,Campeonato Brasileiro Série A,SUB,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4900000,94,61,63,73,27,57
Pietrson Mendes,Pietro Maurício Mendes Abranches,72,72,25,173,64,Bahia,Campeonato Brasileiro Série A,ST,Brazil,Left,3,3,Medium/Medium,Lean (170-185),No,4900000,80,69,73,74,43,50
Timo Triano,Timoteo Samuel Triano Branco,72,72,25,176,76,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,LDM,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4400000,48,46,67,64,74,68
Calegarcinho,Antônio Felipe Macedo Calegari,72,72,37,175,75,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,SUB,Brazil,Right,3,4,Medium/Medium,Normal (170-185),No,1500000,66,70,62,65,25,70
Pimentiscinho,Miguel Edson Pimenta Baia,72,72,21,178,75,Juventude,Campeonato Brasileiro Série A,RDM,Brazil,Left,3,2,Medium/Medium,Normal (170-185),No,4800000,65,55,69,67,73,68
Vieiraldo Junior,Durval Hélton Vieira Aldair,72,72,29,180,79,Atlético Clube Goianiense,Campeonato Brasileiro Série A,LDM,Brazil,Left,3,2,Medium/Medium,Normal (170-185),No,3800000,68,45,62,67,73,78
Kelivelson,Kelivelson Vaz Laranjeiras,72,72,25,182,78,Ceará Sporting Club,Campeonato Brasileiro Série A,SUB,Brazil,Right,3,2,High/Medium,Normal (170-185),No,4400000,70,47,66,62,72,74
Leordinho Paes,Manuel Leonardo Conceição Paes,72,72,21,180,69,Santos,Campeonato Brasileiro Série A,SUB,Brazil,Left,3,3,Medium/Medium,Lean (170-185),No,5300000,69,64,73,73,43,54
Alam Basteirinho,Marcos Alam Bastos Domingues,72,72,29,183,74,Santos,Campeonato Brasileiro Série A,RW,Brazil,Left,4,3,Medium/Low,Lean (170-185),No,4400000,62,65,72,73,36,53
Fábio Melitinho,Fábio Kel Melo Feijó,72,72,25,170,67,Fluminense,Campeonato Brasileiro Série A,CAM,Brazil,Right,5,3,Medium/Low,Normal (170-),No,4900000,46,73,75,75,24,56
Dersan Dinis,Dersan Jaime Dinis Abravanel,72,72,29,176,70,Palmeiras,Campeonato Brasileiro Série A,SUB,Brazil,Right,3,3,High/Medium,Normal (170-185),No,4400000,78,66,69,68,52,68
Jacson Zonta,Jacson João Zonta Filho,72,72,25,181,74,Juventude,Campeonato Brasileiro Série A,LAM,Brazil,Right,4,3,Medium/Medium,Normal (170-185),No,4900000,73,61,72,74,32,62
Hélton Celanova,Hélton Luiz Celanova Vieira,72,72,29,180,92,Internacional,Campeonato Brasileiro Série A,ST,Brazil,Left,3,3,Medium/Low,Stocky (170-185),No,4400000,53,76,60,66,22,73
Gérson Noalha,Gérson Fábio Noalha Rochela,72,72,29,178,76,Palmeiras,Campeonato Brasileiro Série A,SUB,Brazil,Left,3,4,Medium/Medium,Normal (170-185),No,4400000,76,76,58,75,31,68
Jadson Vidigal,Matheus Jadson Vidigal Morais,72,72,29,175,70,Grêmio,Campeonato Brasileiro Série A,ST,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4400000,77,76,57,64,23,58
Vicemte Tófoli,Vicemte Ernesto Tófoli Laranjeiras,72,72,25,172,67,RB Bragantino,Campeonato Brasileiro Série A,LW,Brazil,Left,2,3,Medium/Medium,Normal (170-185),No,4900000,79,71,63,75,36,48
Leandro Vivenço,Leandro Freddy Vivenço Morais,72,72,21,174,69,RB Bragantino,Campeonato Brasileiro Série A,SUB,Brazil,Right,3,3,Medium/Medium,Normal (170-185),No,5300000,75,76,59,76,30,62
João Bruinheira,João Fabrício Bruinheira Salvador,72,72,33,188,83,Associação Chapecoense de Futebol,Campeonato Brasileiro Série A,SUB,Brazil,Right,1,1,Medium/Medium,Normal (185+),No,1400000,,,,,,
Hugo Rubiães,Hugo Adryan Rubiães Chaves,72,72,25,175,75,Fluminense,Campeonato Brasileiro Série A,RDM,Brazil,Right,3,2,Medium/Medium,Normal (170-185),No,4400000,67,61,61,70,75,66
Gustavo Sauer,Gustavo Affonso Sauerbeck,72,72,28,181,77,Boavista FC,Portuguese Liga ZON SAGRES,RW,Brazil,Left,3,4,High/High,Normal (170-185),No,5000000,68,69,70,76,55,71
Lyanco,Lyanco Evangelista Silveira Neves Vojnović,72,80,24,187,83,Southampton,English Premier League,RES,Brazil,Right,3,2,Medium/High,Normal (185+),No,10300000,65,36,52,58,72,69
J. Worrall,Joe Worrall,72,78,24,190,90,Nottingham Forest,English League Championship,RCB,England,Right,2,2,Medium/High,Lean (185+),No,7100000,61,25,47,44,72,76
B. Pittón,Bruno Alejandro Pittón,72,72,28,174,70,San Lorenzo de Almagro,Argentina Primera División,LB,Argentina,Left,2,2,High/Medium,Normal (170-185),No,3200000,74,66,69,65,66,64
I. Sissoko,Ibrahima Sissoko,72,78,23,193,90,RC Strasbourg Alsace,French Ligue 1,CDM,France,Right,4,3,Medium/Medium,Normal (185+),No,8100000,50,55,65,66,71,84
Waldo,Waldo Rubio Martín,72,73,25,181,80,KSV Cercle Brugge,Belgian Jupiler Pro League,SUB,Spain,Right,4,4,High/Medium,Stocky (170-185),No,,88,71,63,76,35,66
R. Nelson,Reiss Nelson,72,81,21,175,71,Feyenoord,Holland Eredivisie,SUB,England,Right,3,4,High/Medium,Lean (170-185),Yes,,85,65,66,77,34,53
Joan Sastre,Joan Sastre Vanrell,72,78,24,174,75,RCD Mallorca,Spain Primera Division,SUB,Spain,Right,3,3,Medium/Medium,Normal (170-185),No,8400000,77,36,56,67,69,64
S. Banza,Simon Bokoté Banza,72,75,24,189,77,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,ST,France,Right,2,2,High/Low,Lean (185+),No,,69,71,49,71,30,71
Curro Sánchez,Francisco José Sánchez Rodríguez,72,75,25,173,71,Unión Deportiva Almería,Spanish Segunda División,RCM,Spain,Left,3,3,High/Medium,Normal (170-185),No,5200000,76,71,70,73,41,50
Álvaro Tejero,Álvaro Tejero Sacristán,72,77,24,172,65,SD Eibar,Spanish Segunda División,RB,Spain,Right,4,2,High/Medium,Normal (170-185),No,5500000,78,60,66,71,65,67
J. Horn,Jannes-Kilian Horn,72,76,24,186,77,1. FC Köln,German 1. Bundesliga,SUB,Germany,Left,3,3,Medium/Medium,Normal (185+),Yes,5800000,78,35,59,67,68,68
S. Moore,Shaquell Moore,72,76,24,180,74,CD Tenerife,Spanish Segunda División,SUB,United States,Right,3,2,Medium/High,Lean (170-185),No,5200000,87,60,62,70,62,74
Y. Niakaté,Youssoufou Niakaté,72,72,28,178,79,Al Ittihad,Saudi Abdul L. Jameel League,ST,France,Left,4,3,High/Medium,Stocky (170-185),No,4100000,92,74,58,70,26,69
J. Serra,Janni-Luca Serra,72,77,23,193,87,DSC Arminia Bielefeld,German 1. Bundesliga,SUB,Germany,Left,4,2,Medium/High,Normal (185+),No,6800000,61,72,52,61,37,77
Maurício,Maurício de Carvalho António,72,73,29,183,78,Al Batin,Saudi Abdul L. Jameel League,LCB,Brazil,Right,3,2,Medium/High,Normal (170-185),No,3800000,60,43,54,51,72,76
G. Carabajal,Horacio Gabriel Carabajal,72,72,29,176,72,Argentinos Juniors,Argentina Primera División,SUB,Argentina,Right,4,4,High/Medium,Normal (170-185),No,,72,70,71,73,42,65
C. Tarragona,Cristian Alberto Tarragona,72,72,30,180,77,Vélez Sarsfield,Argentina Primera División,SUB,Argentina,Right,4,3,High/Medium,Normal (170-185),No,3500000,83,71,53,70,43,80
Garrido,Jon Ander Garrido Moracia,72,72,31,185,80,Cádiz CF,Spain Primera Division,SUB,Spain,Right,3,2,Medium/High,Stocky (185+),No,3500000,36,43,57,52,71,88
R. Canouse,Russell Canouse,72,75,26,178,72,D.C. United,USA Major League Soccer,LCM,United States,Right,3,2,Medium/High,Stocky (170-185),Yes,4400000,66,51,61,65,69,81
B. Merlini,Bautista Merlini,72,73,25,179,71,Club Libertad,Paraguayan Primera División,LM,Argentina,Right,3,3,High/High,Normal (170-185),No,6400000,83,65,68,75,41,56
A. D'Alberto,Anthony D'Alberto,72,75,26,178,69,Aarhus GF,Danish Superliga,RWB,Belgium,Right,3,3,Medium/Medium,Normal (170-185),No,3700000,81,36,60,68,67,67
M. Lovera,Maximiliano Alberto Lovera,72,78,22,170,65,Racing Club,Argentina Primera División,LM,Argentina,Right,3,3,Medium/Medium,Normal (170-),No,,87,61,63,80,31,62
Ricky Guerreda,Ricardo Silas Guerreda Vilela,72,72,29,170,67,Juventude,Campeonato Brasileiro Série A,RB,Brazil,Right,4,2,Medium/Medium,Lean (170-),No,4000000,78,45,63,66,69,56
Kainho Selva,Kaio Antonaldo Selva Mota,72,72,21,183,79,Atlético Clube Goianiense,Campeonato Brasileiro Série A,LCB,Brazil,Right,2,2,Low/Medium,Normal (170-185),No,4600000,66,30,49,61,73,73
Caio Milaçar,Caio Bruno Milaçar Kenedy,72,72,25,170,67,Ceará Sporting Club,Campeonato Brasileiro Série A,LAM,Brazil,Right,4,4,Medium/Medium,Lean (170-),No,4900000,66,68,69,76,31,52
Lucas Fernandes,Lucas Fernandes da Silva,72,81,23,175,70,Portimonense SC,Portuguese Liga ZON SAGRES,RCM,Brazil,Right,3,4,Medium/Medium,Normal (170-185),No,11500000,73,69,73,76,52,60
L. Travis,Lewis Travis,72,80,23,183,63,Blackburn Rovers,English League Championship,CDM,England,Right,3,3,Medium/High,Lean (170-185),No,10300000,69,59,65,69,69,75
Lourency,Lourency do Nascimento Rodrigues,72,75,25,178,74,Göztepe SK,Turkish Süper Lig,SUB,Brazil,Right,4,4,High/Low,Normal (170-185),No,6400000,80,71,67,76,36,69
J. Eggestein,Johannes Eggestein,72,78,23,183,75,Royal Antwerp FC,Belgian Jupiler Pro League,RES,Germany,Right,4,3,High/High,Lean (170-185),Yes,6300000,70,71,67,75,37,61
J. Lefort,Jordan Lefort,72,72,27,184,81,BSC Young Boys,Swiss Super League,LB,France,Left,3,2,Medium/Medium,Normal (170-185),No,3500000,65,26,60,63,71,75
Jota,João Pedro Neves Filipe,72,83,22,175,67,Celtic,Scottish Premiership,SUB,Portugal,Right,3,4,High/Medium,Normal (170-185),No,,85,65,65,78,32,49
Luan Peres,Luan Peres Petroni,72,75,26,190,79,Olympique de Marseille,French Ligue 1,LCB,Brazil,Left,2,2,Medium/Medium,Lean (185+),No,5300000,71,34,59,64,74,70
M. Leitsch,Maxim Leitsch,72,78,23,188,75,VfL Bochum 1848,German 1. Bundesliga,LCB,Germany,Left,2,2,Medium/High,Lean (185+),No,6800000,87,37,55,63,73,71
M. D'Arpino,Maxime Vincent D'Arpino,72,77,25,176,68,KV Oostende,Belgian Jupiler Pro League,CDM,France,Right,4,3,High/Medium,Lean (170-185),No,4700000,66,60,71,71,67,71
Pedrinho,Pedro Filipe Barbosa Moreira,72,72,28,170,65,Gil Vicente FC,Portuguese Liga ZON SAGRES,LCM,Portugal,Right,3,3,High/High,Stocky (170-),No,4900000,80,71,72,74,55,60
Y. Salmier,Yoann Salmier,72,73,28,188,85,ESTAC Troyes,French Ligue 1,LCB,France,Right,3,2,Medium/Medium,Normal (185+),No,4600000,43,28,45,52,72,80
P. Burner,Patrick Julien Burner,72,74,25,170,61,Nîmes Olympique,French Ligue 2,RB,France,Right,3,3,High/Medium,Normal (170-),No,5100000,74,55,64,71,68,71
Dani Cárdenas,Daniel Cárdenas Líndez,72,80,24,186,80,Levante Unión Deportiva,Spain Primera Division,SUB,Spain,Right,3,1,Medium/Medium,Lean (185+),No,10400000,,,,,,
K. Duncan,Kyle Duncan,72,78,23,177,68,New York Red Bulls,USA Major League Soccer,RB,United States,Right,3,2,High/Medium,Lean (170-185),No,5800000,91,46,56,69,69,72
Marc Cardona,Marc Cardona Rovira,72,74,25,183,70,Go Ahead Eagles,Holland Eredivisie,SUB,Spain,Right,3,3,Medium/Medium,Lean (170-185),No,,75,71,61,72,27,61
Pedro Díaz,Pedro Díaz Fanjul,72,80,23,180,78,Real Sporting de Gijón,Spanish Segunda División,RDM,Spain,Right,3,3,Medium/Medium,Normal (170-185),No,8800000,67,73,75,72,67,66
Artur Jorge,Artur Jorge Marques Amorim,72,75,26,186,79,Moreirense FC,Portuguese Liga ZON SAGRES,RB,Portugal,Right,3,2,Low/High,Normal (185+),No,5900000,53,35,46,49,74,75
L. Fomba,Lamine Fomba,72,78,23,188,68,Nîmes Olympique,French Ligue 2,RCM,France,Right,2,3,Medium/High,Lean (185+),No,6800000,66,52,63,73,72,77
S. Longstaff,Sean Longstaff,72,79,23,180,65,Newcastle United,English Premier League,SUB,England,Right,3,2,Medium/Medium,Lean (170-185),Yes,9900000,57,65,70,69,64,64
G. Berterame,Germán Berterame,72,82,22,178,72,Club Atlético de San Luis,Mexican Liga MX,LS,Argentina,Right,3,2,High/Medium,Normal (170-185),No,10500000,77,67,65,72,33,68
P. Förster,Philipp Förster,72,73,26,188,82,VfB Stuttgart,German 1. Bundesliga,RF,Germany,Left,3,3,High/High,Normal (185+),No,5300000,69,65,70,72,59,77
C. O'Hare,Callum O'Hare,72,79,23,173,65,Coventry City,English League Championship,CAM,England,Right,3,3,High/High,Lean (170-185),No,9900000,81,58,68,77,66,66
E. Owusu,Elisha Owusu,72,77,23,182,72,KAA Gent,Belgian Jupiler Pro League,SUB,France,Right,3,2,Medium/Medium,Normal (170-185),No,5000000,68,53,64,71,69,72
Fernando Fonseca,Fernando Manuel Ferreira Fonseca,72,76,24,182,75,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,RB,Portugal,Right,3,3,High/Medium,Lean (170-185),No,6700000,73,41,61,68,68,74
D. Srbeny,Dennis Srbeny,72,72,27,190,83,SC Paderborn 07,German 2. Bundesliga,ST,Germany,Right,3,3,High/Medium,Normal (185+),Yes,4000000,65,69,58,69,33,72
A. Mayorga,Manuel Alejandro Mayorga Almaráz,72,77,24,178,71,Club Deportivo Guadalajara,Mexican Liga MX,LB,Mexico,Left,3,3,High/Medium,Normal (170-185),No,5900000,81,55,62,72,67,73
N. Cozza,Nicolas Louis Marcel Cozza,72,80,22,178,72,Montpellier Hérault SC,French Ligue 1,LB,France,Left,3,2,Medium/Medium,Normal (170-185),No,10800000,77,37,61,66,73,71
Carlitos,Carlos Daniel López Huesca,72,72,31,177,71,Panathinaikos FC,Greek Super League,SUB,Spain,Right,2,4,High/Medium,Normal (170-185),No,4400000,79,73,68,75,27,70
A. Gravillon,Andreaw Gravillon,72,77,23,185,80,Stade de Reims,French Ligue 1,RCB,France,Right,3,2,Medium/Medium,Normal (185+),No,,62,42,48,54,72,75
Tete Morente,José Antonio Morente Oliva,72,78,24,184,78,Elche CF,Spain Primera Division,SUB,Spain,Right,3,3,High/Medium,Normal (170-185),No,8500000,81,72,69,73,43,68
Bebeto,Roberto Jesus Machado Beto Alves,72,72,31,174,62,CD Tondela,Portuguese Liga ZON SAGRES,RB,Brazil,Right,2,3,Medium/Medium,Normal (170-185),No,3600000,72,45,62,70,69,66
Pêpê,Pedro Filipe Figueiredo Rodrigues,72,77,24,183,69,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,LDM,Portugal,Right,3,3,Medium/Medium,Normal (170-185),No,,59,64,70,72,66,71
J. García,Juan Manuel García,72,72,28,181,82,Unión de Santa Fe,Argentina Primera División,SUB,Argentina,Right,5,3,High/Medium,Normal (170-185),No,3600000,76,72,49,66,37,77
M. Payero,Martín Ismael Payero,72,81,22,182,78,Middlesbrough,English League Championship,SUB,Argentina,Right,2,3,Medium/Medium,Normal (170-185),No,10500000,70,59,74,72,61,69
L. Heredia,Leonardo Matías Heredia,72,75,25,185,79,Atlético Tucumán,Argentina Primera División,RS,Argentina,Right,4,3,High/Medium,Normal (185+),No,4900000,66,70,68,74,35,67
F. Garcés,Facundo Tomás Garcés,72,79,21,188,82,Club Atlético Colón,Argentina Primera División,RCB,Argentina,Right,4,2,Medium/Medium,Normal (185+),No,7500000,60,37,52,54,73,77
T. Belmonte,Tomás Belmonte,72,81,23,178,68,Club Atlético Lanús,Argentina Primera División,RDM,Argentina,Right,4,3,High/High,Lean (170-185),No,8500000,68,65,66,73,70,77
M. Sagnan,Modibo Sagnan,72,81,22,187,77,CD Tondela,Portuguese Liga ZON SAGRES,RCB,France,Left,3,2,High/Medium,Normal (185+),No,,64,32,56,55,73,70
A. Cruz,Aldo Jafid Cruz Sánchez,72,78,23,173,67,Tigres U.A.N.L.,Mexican Liga MX,SUB,Mexico,Left,2,3,Medium/Medium,Normal (170-185),No,6300000,76,37,65,68,69,66
Tiago Sá,Tiago Magalhães de Sá,72,77,26,185,78,SC Braga,Portuguese Liga ZON SAGRES,SUB,Portugal,Right,3,1,Medium/Medium,Normal (185+),No,5600000,,,,,,
Douglas,Dyanfres Douglas Chagas Matos,72,72,33,184,74,Vissel Kobe,Japanese J. League Division 1,LS,Brazil,Left,3,3,High/Medium,Stocky (170-185),No,2000000,70,74,49,70,28,69
C. Rotondi,Carlos Rodolfo Rotondi,72,75,24,184,73,Defensa y Justicia,Argentina Primera División,LM,Argentina,Left,2,2,High/High,Normal (170-185),No,5000000,79,66,64,74,54,65
Klauss,João Klauss de Mello,72,77,24,190,84,Standard de Liège,Belgian Jupiler Pro League,LS,Brazil,Right,3,3,High/High,Normal (185+),No,,65,72,63,66,35,84
K. Schlotterbeck,Keven Schlotterbeck,72,76,24,189,84,Sport-Club Freiburg,German 1. Bundesliga,SUB,Germany,Left,3,2,Medium/Medium,Normal (185+),Yes,5600000,66,26,51,53,74,72
A. Fein,Adrian Fein,72,79,22,187,78,SpVgg Greuther Fürth,German 1. Bundesliga,SUB,Germany,Right,4,3,Medium/Medium,Lean (185+),No,,50,57,68,72,67,74
M. Ruiz,Marcel Alejandro Ruiz Suárez,72,82,20,180,68,Club Tijuana,Mexican Liga MX,SUB,Mexico,Right,4,3,High/Medium,Lean (170-185),No,9500000,68,64,72,72,56,66
G. Galoppo,Giuliano Galoppo,72,82,22,179,73,Club Atlético Banfield,Argentina Primera División,LCM,Argentina,Right,3,2,Medium/Medium,Lean (170-185),No,8500000,68,70,69,69,61,68
Javi Sánchez,Javier Sánchez de Felipe,72,81,24,188,79,Real Valladolid CF,Spanish Segunda División,LCB,Spain,Right,4,2,Medium/Medium,Lean (185+),No,8800000,62,33,51,47,72,74
Víctor Gómez,Víctor Gómez Perea,72,82,21,166,69,Málaga CF,Spanish Segunda División,SUB,Spain,Right,4,3,High/Medium,Normal (170-),No,,75,50,70,69,66,67
I. Aliseda,Ignacio Santiago Aliseda,72,82,21,169,69,Chicago Fire Football Club,USA Major League Soccer,LM,Argentina,Right,4,3,Medium/Low,Stocky (170-),No,9100000,87,62,62,77,39,60
Óscar Gil,Óscar Gil Regaño,72,81,23,173,70,RCD Espanyol de Barcelona,Spain Primera Division,SUB,Spain,Right,3,3,High/High,Normal (170-185),No,11500000,79,46,63,68,66,72
A. Urzi,Agustín José Urzi,72,83,21,168,61,Club Atlético Banfield,Argentina Primera División,SUB,Argentina,Left,3,4,High/Medium,Lean (170-),No,9400000,85,63,64,74,36,58
Fran García,Francisco José García Torres,72,83,21,167,69,Rayo Vallecano,Spain Primera Division,SUB,Spain,Left,3,3,High/Medium,Normal (170-),No,12000000,90,49,63,70,65,60
Fidalgo,Álvaro Fidalgo Fernández,72,78,24,172,67,Club América,Mexican Liga MX,RM,Spain,Right,3,4,High/High,Lean (170-185),No,7000000,79,65,70,75,50,64
A. Bamba,Abdoul Kader Bamba,72,72,27,177,74,Amiens SC,French Ligue 2,LM,France,Right,3,4,High/Low,Normal (170-185),No,,82,64,68,74,42,57
Tuta,Lucas Silva Melo,72,81,21,185,81,Eintracht Frankfurt,German 1. Bundesliga,SUB,Brazil,Right,2,2,Medium/Medium,Normal (185+),No,9300000,69,41,60,66,72,72
Edgar,Edgar González Estrada,72,79,24,193,78,Real Betis Balompié,Spain Primera Division,RES,Spain,Right,2,2,High/High,Lean (185+),No,10100000,60,49,60,62,72,78
Jaime Seoane,Jaime Seoane Valenciano,72,79,24,177,70,SD Huesca,Spanish Segunda División,CDM,Spain,Right,3,3,Medium/Medium,Lean (170-185),No,8500000,69,66,73,73,66,70
J. Dina Ebimbe,Eric Junior Dina Ebimbe,72,80,20,175,66,Paris Saint-Germain,French Ligue 1,RES,France,Right,3,3,Medium/Medium,Normal (170-185),No,10300000,83,61,68,75,66,75
F. Torrent,Fernando Torrent Guidi,72,72,29,173,72,Rosario Central,Argentina Primera División,SUB,Argentina,Right,3,3,High/Medium,Normal (170-185),No,3200000,85,51,62,71,64,77
J. Soraire,Jesús Miguel Soraire,72,72,32,175,70,Club Atlético Central Córdoba,Argentina Primera División,RCM,Argentina,Right,5,3,High/High,Normal (170-185),No,2600000,75,61,72,76,62,83
M. Meyerhöfer,Marco Meyerhöfer,72,75,25,179,74,SpVgg Greuther Fürth,German 1. Bundesliga,RB,Germany,Right,2,2,Medium/Medium,Lean (170-185),No,5400000,70,40,61,70,67,71
Gregore,Gregore de Magalhães da S.,72,73,27,181,78,Inter Miami CF,USA Major League Soccer,RDM,Brazil,Right,3,2,Medium/High,Stocky (170-185),No,3800000,76,55,64,68,72,82
Mateus Pasinato,Mateus Pasinato,72,72,29,192,86,Moreirense FC,Portuguese Liga ZON SAGRES,GK,Brazil,Right,3,1,Medium/Medium,Normal (185+),No,3400000,,,,,,
Douglas Augusto,Douglas Augusto Soares Gomes,72,76,24,174,68,PAOK,Greek Super League,SUB,Brazil,Left,3,2,Medium/Medium,Normal (170-185),No,7500000,72,66,67,73,68,76
Luquinha,Lucas Queiroz Canteiro,72,82,20,167,65,Portimonense SC,Portuguese Liga ZON SAGRES,SUB,Brazil,Right,3,3,Medium/Low,Lean (170-),No,11500000,76,59,74,76,34,47
Romário Baró,Romário Manuel Silva Baró,72,82,21,180,66,Estoril Praia,Portuguese Liga ZON SAGRES,SUB,Portugal,Right,4,3,Medium/Medium,Lean (170-185),Yes,,76,67,69,73,46,58
M. Brizuela,Miguel Marcelo Brizuela,72,76,24,181,72,Vélez Sarsfield,Argentina Primera División,SUB,Argentina,Left,3,2,Low/High,Normal (170-185),No,4700000,61,37,56,55,70,79
Antonio Sánchez,Antonio Sánchez Navarro,72,78,24,179,78,RCD Mallorca,Spain Primera Division,SUB,Spain,Right,3,3,High/Medium,Normal (170-185),No,8900000,76,68,69,75,55,72
L. Morales,Lautaro Alberto Morales,72,85,21,187,76,Club Atlético Lanús,Argentina Primera División,GK,Argentina,Right,3,1,Medium/Medium,Lean (185+),No,10600000,,,,,,
M. Ndayishimiye,Mike Trésor Ndayishimiye,72,80,22,172,64,KRC Genk,Belgian Jupiler Pro League,CAM,Belgium,Right,3,4,High/Low,Lean (170-185),No,9400000,81,63,70,77,29,51
R. Schunke,Richard Hernán Schunke,72,73,29,185,78,Independiente del Valle,Ecuadorian Serie A,RCB,Argentina,Right,2,2,Medium/Medium,Normal (185+),No,4900000,59,34,52,55,70,79
M. Bard,Melvin Michel Maxence Bard,72,82,20,173,65,OGC Nice,French Ligue 1,LB,France,Left,3,3,Medium/Medium,Normal (170-185),No,10300000,78,48,63,73,67,70
Marcos Paulo,Marcos Paulo Costa do Nascimento,72,84,20,186,75,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,LM,Portugal,Right,3,3,Medium/Medium,Lean (185+),No,,71,67,70,72,43,52
F. Farías,Facundo Hernán Farías,72,84,18,173,73,Club Atlético Colón,Argentina Primera División,ST,Argentina,Right,3,3,High/Medium,Stocky (170-185),No,9400000,82,71,66,77,35,66
Gonçalo Ramos,Gonçalo Matias Ramos,72,86,20,184,79,SL Benfica,Portuguese Liga ZON SAGRES,RES,Portugal,Right,4,2,High/High,Normal (170-185),No,14400000,81,70,63,71,33,83
Fábio Vieira,Fábio Daniel Ferreira Vieira,72,85,21,170,63,FC Porto,Portuguese Liga ZON SAGRES,RES,Portugal,Left,3,2,Medium/Medium,Lean (170-),No,15800000,74,69,73,72,36,52
K. de la Fuente,Konrad de la Fuente,72,83,19,170,63,Olympique de Marseille,French Ligue 1,LM,United States,Right,4,3,Medium/Medium,Normal (170-),No,10500000,83,64,68,74,19,49
Bruno Fuchs,Bruno de Lara Fuchs,72,82,22,190,85,PFC CSKA Moscow,Russian Premier League,SUB,Brazil,Right,3,2,Medium/High,Lean (185+),No,8800000,70,56,64,67,73,72
Zarraga,Oier Zarraga Egaña,72,81,22,175,76,Athletic Club de Bilbao,Spain Primera Division,SUB,Spain,Right,3,3,High/Medium,Normal (170-185),No,11500000,78,66,69,76,59,67
E. Green,Etienne Green,72,81,20,190,78,AS Saint-Étienne,French Ligue 1,GK,England,Right,3,1,Medium/Medium,Lean (185+),No,9700000,,,,,,
Yuri,Yuri de Souza Fonseca,71,71,38,186,78,SD Ponferradina,Spanish Segunda División,LS,Brazil,Right,4,3,High/Medium,Normal (185+),No,1000000,66,73,60,69,36,71
