short_name,long_name,overall,potential,age,height_cm,weight_kg,club_name,league_name,club_position,nationality,preferred_foot,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,pace,shooting,passing,dribbling,defending,physic
S. Larsson,Sam Larsson,75,75,28,180,70,Dalian Professional Football Club,Chinese Super League,RS,Sweden,Right,2,4,Medium/Low,Normal (170-185),No,8500000,76,72,73,80,38,59
T. Kędziora,Tomasz Karol Kędziora,75,76,27,183,77,Dynamo Kyiv,Ukrainian Premier League,SUB,Poland,Right,3,2,High/Medium,Lean (170-185),No,13700000,77,46,67,64,73,74
C. Pellerano,Cristian Alberto Pellerano,75,75,39,184,74,Independiente del Valle,Ecuadorian Serie A,LCM,Argentina,Right,3,2,Medium/Medium,Normal (170-185),No,2400000,54,65,67,60,70,80
Y. Al Shahrani,Yasir Gharsan Al-Shahrani,75,75,29,170,64,Al Hilal,Saudi Abdul L. Jameel League,LB,Saudi Arabia,Right,5,3,High/High,Lean (170-),Yes,8300000,90,54,67,73,70,66
Jordi Quintillà,Jordi Quintillà Guasch,75,76,27,178,71,FC Basel 1893,Swiss Super League,LDM,Spain,Left,4,3,Medium/Medium,Lean (170-185),No,10200000,68,69,75,76,63,66
K. Hause,Kortney Hause,75,77,25,191,77,Aston Villa,English Premier League,SUB,England,Left,2,2,Low/Medium,Normal (185+),Yes,11900000,61,45,60,59,74,79
A. Hegazi,Ahmed Elsayed Ali Elsayed Hegazy,75,75,30,193,88,Al Ittihad,Saudi Abdul L. Jameel League,LCB,Egypt,Right,2,2,Medium/Medium,Normal (185+),Yes,7800000,48,20,50,54,76,82
R. Pizarro,Rodolfo Gilbert Pizarro Thomas,75,75,27,175,71,Inter Miami CF,USA Major League Soccer,CAM,Mexico,Right,4,3,High/Medium,Normal (170-185),Yes,9000000,76,70,73,77,55,66
C. McGregor,Callum William McGregor,75,75,28,174,74,Celtic,Scottish Premiership,CDM,Scotland,Left,4,4,High/High,Normal (170-185),No,9900000,80,70,73,77,70,76
Rubén Blanco,Rubén Blanco Veiga,75,79,25,189,80,RC Celta de Vigo,Spain Primera Division,SUB,Spain,Right,3,1,Medium/Medium,Lean (185+),Yes,13100000,,,,,,
Pedro Santos,Pedro Miguel Martins Santos,75,75,33,178,76,Columbus Crew,USA Major League Soccer,LM,Portugal,Left,4,3,Medium/High,Lean (170-185),Yes,5300000,76,71,73,75,64,64
R. Centurión,Adrián Ricardo Centurión,75,75,28,174,71,Vélez Sarsfield,Argentina Primera División,CAM,Argentina,Right,4,5,High/Medium,Normal (170-185),No,8300000,87,68,69,82,41,65
S. Dimitrievski,Stole Dimitrievski,75,79,27,188,84,Rayo Vallecano,Spain Primera Division,GK,North Macedonia,Right,2,1,Medium/Medium,Normal (185+),No,13700000,,,,,,
I. Amadou,Ibrahim Amadou,75,76,28,183,81,Sevilla FC,Spain Primera Division,RES,France,Right,3,3,Low/High,Normal (170-185),Yes,12000000,64,55,65,71,73,80
J. Swift,John Swift,75,78,26,182,73,Reading,English League Championship,CAM,England,Right,2,4,Medium/Medium,Lean (170-185),No,14800000,65,73,75,78,60,65
Pere Pons,Pere Pons Riera,75,75,28,177,70,Deportivo Alavés,Spain Primera Division,RDM,Spain,Right,3,3,Medium/High,Lean (170-185),Yes,12100000,62,62,72,74,69,70
M. Flekken,Mark Flekken,75,77,28,195,87,Sport-Club Freiburg,German 1. Bundesliga,GK,Netherlands,Right,4,1,Medium/Medium,Normal (185+),Yes,9000000,,,,,,
A. Hahn,André Hahn,75,75,30,185,80,FC Augsburg,German 1. Bundesliga,RM,Germany,Right,4,3,High/High,Normal (185+),Yes,9900000,72,75,67,70,55,83
F. Niederlechner,Florian Niederlechner,75,75,30,187,86,FC Augsburg,German 1. Bundesliga,ST,Germany,Right,4,3,High/High,Normal (185+),Yes,9900000,72,76,63,73,35,79
D. Kohr,Dominik Kohr,75,76,27,183,80,1. FSV Mainz 05,German 1. Bundesliga,CM,Germany,Right,3,3,Medium/High,Normal (170-185),Yes,,77,62,62,70,75,80
A. Scholz,Alexander Scholz,75,76,28,189,84,Urawa Red Diamonds,Japanese J. League Division 1,LCB,Denmark,Right,3,2,High/High,Normal (185+),No,7600000,72,55,65,68,75,79
A. Maxsø,Andreas Beyer Maxsø,75,77,27,191,87,Brøndby IF,Danish Superliga,RCB,Denmark,Right,4,2,Medium/Medium,Normal (185+),No,8000000,51,44,55,53,75,80
Jo Hyeon Woo,조현우 崔永宇,75,77,29,189,75,Ulsan Hyundai FC,Korean K League 1,GK,Korea Republic,Right,3,1,Medium/Medium,Lean (185+),No,6500000,,,,,,
L. Vangioni,Leonel Jesús Vangioni,75,75,34,181,68,Club Libertad,Paraguayan Primera División,RES,Argentina,Left,3,3,High/Medium,Lean (170-185),No,4600000,77,63,69,70,71,74
M. Lemina,Mario René Junior Lemina,75,75,27,184,85,OGC Nice,French Ligue 1,LCM,Gabon,Right,4,3,Medium/Medium,Normal (170-185),Yes,11400000,71,68,73,76,72,75
A. Tameze,Adrien Tameze,75,76,27,180,78,Hellas Verona,Italian Serie A,SUB,France,Right,3,3,Medium/Medium,Normal (170-185),No,10700000,68,61,67,76,73,74
L. Abergel,Laurent Abergel,75,76,28,170,65,FC Lorient,French Ligue 1,LCM,France,Right,3,3,Medium/High,Normal (170-),No,11400000,72,49,68,73,71,75
P. Dawidowicz,Paweł Marek Dawidowicz,75,78,26,189,80,Hellas Verona,Italian Serie A,RCB,Poland,Right,4,2,High/High,Lean (185+),No,11500000,62,46,61,62,76,77
E. Pulgar,Erick Antonio Pulgar Farfán,75,77,27,187,74,Fiorentina,Italian Serie A,CM,Chile,Right,3,3,Medium/High,Lean (185+),No,10700000,63,62,75,73,72,74
G. Kamara,Glen Adjei Kamara,75,80,25,183,73,Rangers FC,Scottish Premiership,LCM,Finland,Right,4,3,Medium/Medium,Lean (170-185),No,15000000,76,60,70,76,72,75
R. Loftus-Cheek,Ruben Loftus-Cheek,75,78,25,191,88,Chelsea,English Premier League,SUB,England,Right,3,4,Medium/Low,Stocky (185+),Yes,14400000,65,67,73,77,59,75
B. Pearson,Ben Pearson,75,78,26,176,71,AFC Bournemouth,English League Championship,CDM,England,Right,3,3,Medium/High,Lean (170-185),No,12800000,70,49,63,70,72,84
F. Di Francesco,Federico Di Francesco,75,75,27,171,75,Empoli,Italian Serie A,SUB,Italy,Right,4,4,High/Medium,Lean (170-185),No,10800000,79,70,73,81,39,60
E. Balanta,Éder Fabián Álvarez Balanta,75,76,28,181,84,Club Brugge KV,Belgian Jupiler Pro League,CDM,Colombia,Left,2,2,Medium/High,Stocky (170-185),No,8100000,66,43,61,68,75,82
Fábio Cardoso,Fábio Rafael Rodrigues Cardoso,75,78,27,187,81,FC Porto,Portuguese Liga ZON SAGRES,SUB,Portugal,Right,2,2,Medium/High,Normal (185+),No,13500000,61,32,52,64,75,79
E. Sobol,Eduard Sobol,75,77,26,186,76,Club Brugge KV,Belgian Jupiler Pro League,SUB,Ukraine,Left,2,2,High/Medium,Lean (185+),No,9600000,79,64,68,71,71,73
J. Lerma,Jefferson Andrés Lerma Solís,75,77,26,179,70,AFC Bournemouth,English League Championship,RCM,Colombia,Right,4,3,Medium/High,Normal (170-185),Yes,11900000,71,64,70,72,72,81
N. Vikonis,Nicolás Vikonis Moreau,75,75,37,184,88,Mazatlán Futbol Club,Mexican Liga MX,GK,Uruguay,Left,3,1,Medium/Medium,Normal (170-185),No,1000000,,,,,,
Y. Chará,Yimmi Javier Chara Zamora,75,75,30,165,68,Portland Timbers,USA Major League Soccer,RM,Colombia,Right,4,4,High/Medium,Stocky (170-),No,8300000,91,69,66,78,56,70
W. Tesillo,William José Tesillo Gutiérrez,75,75,31,184,78,Club León,Mexican Liga MX,LCB,Colombia,Left,3,2,Medium/High,Normal (170-185),No,6500000,64,29,61,68,77,73
J. Angulo,Juan Camilo Angulo Villegas,75,75,32,180,72,Deportivo Cali,Colombian Liga Postobón,RB,Colombia,Right,3,3,High/Medium,Normal (170-185),No,5300000,73,58,69,68,73,75
S. Medina,John Stefan Medina Ramírez,75,75,29,180,72,CF Monterrey,Mexican Liga MX,RB,Colombia,Right,3,3,High/Medium,Normal (170-185),No,7800000,75,49,67,67,73,74
Postigo,Sergio Postigo Redondo,75,75,32,185,78,Levante Unión Deportiva,Spain Primera Division,SUB,Spain,Right,3,2,Low/Medium,Stocky (185+),Yes,7600000,67,43,54,57,76,74
P. Goltz,Paolo Duval Goltz,75,75,36,184,82,Club Atlético Colón,Argentina Primera División,SUB,Argentina,Right,3,2,Low/Medium,Normal (170-185),No,1500000,55,55,66,59,75,81
D. Benedetto,Darío Ismael Benedetto,75,75,31,177,75,Elche CF,Spain Primera Division,SUB,Argentina,Right,3,3,Medium/Medium,Normal (170-185),Yes,,76,76,66,73,38,72
E. Puch,Edson Raúl Puch Cortés,75,75,35,169,72,Universidad Católica,Chilian Campeonato Nacional,LW,Chile,Right,4,4,High/Medium,Stocky (170-),No,3200000,86,70,66,78,43,66
L. Sigali,Leonardo Germán Sigali,75,75,34,181,74,Racing Club,Argentina Primera División,RCB,Argentina,Right,3,2,High/High,Normal (170-185),Yes,2700000,66,45,49,60,76,74
L. Giannetti,Lautaro Daniel Gianetti,75,77,27,184,79,Vélez Sarsfield,Argentina Primera División,LCB,Argentina,Right,4,2,Medium/High,Normal (170-185),No,9500000,71,34,55,55,76,77
L. Janson,Lucas Ezequiel Janson,75,75,26,169,67,Vélez Sarsfield,Argentina Primera División,LW,Argentina,Right,3,4,High/Medium,Normal (170-),No,9000000,84,73,66,80,36,63
C. Lema,Cristian Franco Lema,75,75,31,192,93,Newell's Old Boys,Argentina Primera División,RCB,Argentina,Right,2,2,Low/High,Normal (185+),No,5700000,35,49,56,39,76,82
G. Herrera,Guido Gabriel Herrera,75,76,29,187,67,Club Atlético Talleres,Argentina Primera División,GK,Argentina,Left,2,1,Medium/Medium,Normal (185+),No,6800000,,,,,,
P. Zinckernagel,Philip Aksel Frigast Zinckernagel,75,76,26,175,70,Nottingham Forest,English League Championship,RM,Denmark,Right,3,4,High/Medium,Normal (170-185),No,,87,71,71,76,42,68
R. Skov,Robert Skov,75,78,25,185,81,TSG Hoffenheim,German 1. Bundesliga,SUB,Denmark,Left,3,3,Medium/Medium,Normal (185+),No,13300000,78,77,76,73,64,71
N. Maksimović,Nikola Maksimović,75,75,29,193,87,Genoa,Italian Serie A,CB,Serbia,Right,3,2,Medium/Medium,Normal (185+),No,8500000,58,28,47,54,77,77
A. Mitrović,Aleksandar Mitrović,75,76,26,189,90,Fulham,English League Championship,ST,Serbia,Right,4,3,Medium/Medium,Stocky (185+),Yes,12800000,63,76,56,69,27,84
M. Cornet,Gnaly Maxwel Cornet,75,78,24,179,69,Burnley,English Premier League,SUB,Côte d'Ivoire,Left,4,3,High/High,Lean (170-185),Yes,13800000,86,75,70,74,67,77
S. Widmer,Silvan Dominic Widmer,75,75,28,183,79,1. FSV Mainz 05,German 1. Bundesliga,RWB,Switzerland,Right,4,3,High/Medium,Normal (170-185),No,9000000,78,61,69,73,71,78
K. Tete,Kenny Joelle Tete,75,78,25,180,71,Fulham,English League Championship,RB,Netherlands,Right,2,2,Medium/Medium,Normal (170-185),Yes,13800000,76,47,65,68,74,74
Danilo,Danilo Teodoro Soares,75,75,29,170,72,VfL Bochum 1848,German 1. Bundesliga,LB,Brazil,Left,3,3,High/High,Normal (170-),No,8800000,73,59,66,76,73,69
D. Sinkgraven,Daley Sinkgraven,75,77,25,179,67,Bayer 04 Leverkusen,German 1. Bundesliga,SUB,Netherlands,Left,3,4,High/Medium,Lean (170-185),No,11500000,77,60,73,79,72,64
Álvaro García,Álvaro García Rivera,75,75,28,167,61,Rayo Vallecano,Spain Primera Division,LM,Spain,Left,3,3,Medium/Medium,Lean (170-),Yes,12100000,92,64,70,74,30,45
Gonçalo Paciência,Gonçalo Mendes Paciência,75,76,26,184,79,Eintracht Frankfurt,German 1. Bundesliga,SUB,Portugal,Right,4,4,Medium/Medium,Normal (170-185),No,11500000,56,75,57,76,33,79
Wendell,Wendell Nascimento Borges,75,75,27,176,72,FC Porto,Portuguese Liga ZON SAGRES,SUB,Brazil,Left,2,4,High/Medium,Normal (170-185),Yes,11000000,79,49,70,79,70,70
M. Meza,Maximiliano Eduardo Meza,75,75,28,181,80,CF Monterrey,Mexican Liga MX,RW,Argentina,Right,4,4,High/Medium,Lean (170-185),No,8800000,78,71,73,80,44,71
W. Hoedt,Wesley Theodorus Hoedt,75,77,27,188,77,RSC Anderlecht,Belgian Jupiler Pro League,RCB,Netherlands,Left,3,2,Medium/Medium,Lean (185+),Yes,9500000,57,46,66,59,74,77
S. Uçan,Salih Uçan,75,76,27,182,80,Beşiktaş JK,Turkish Süper Lig,LCM,Turkey,Right,5,3,Medium/Medium,Lean (170-185),No,12800000,63,71,75,75,71,66
G. Simeone,Giovanni Pablo Simeone,75,78,25,181,81,Hellas Verona,Italian Serie A,ST,Argentina,Right,3,3,High/High,Normal (170-185),No,,76,74,59,74,37,70
M. Simon,Moses Daddy-Ajala Simon,75,76,25,168,69,FC Nantes,French Ligue 1,LM,Nigeria,Right,4,4,High/Medium,Normal (170-),No,13500000,92,70,66,79,34,65
R. Otero,Rómulo Otero Vásquez,75,75,28,169,62,Cruz Azul,Mexican Liga MX,RES,Venezuela,Right,4,4,High/Medium,Normal (170-),No,9400000,84,75,73,79,45,55
Zainadine,Zainadine Abdula Chavango Júnior,75,75,33,178,70,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,RCB,Mozambique,Right,3,2,Medium/High,Normal (170-185),No,5700000,71,41,57,62,76,77
A. Silva,Alejandro Daniel Silva González,75,75,31,178,68,Club Olimpia,Paraguayan Primera División,RM,Uruguay,Right,4,4,High/High,Lean (170-185),No,10300000,88,67,72,76,67,74
S. Vegas,Sebastián Ignacio Vegas Orellana,75,82,24,180,75,CF Monterrey,Mexican Liga MX,LCB,Chile,Left,3,2,Medium/High,Normal (170-185),No,18900000,73,55,63,67,74,80
B. Meling,Birger Solberg Meling,75,77,26,174,64,Stade Rennais FC,French Ligue 1,SUB,Norway,Left,3,3,High/High,Lean (170-185),No,12800000,84,52,68,75,68,67
R. Battaglia,Rodrigo Andrés Battaglia,75,75,29,187,79,RCD Mallorca,Spain Primera Division,SUB,Argentina,Right,4,3,Medium/High,Normal (185+),No,,63,67,67,72,77,78
Carlos Júnior,Carlos Alberto Carvalho da Silva Júnior,75,76,25,172,69,Al Shabab,Saudi Abdul L. Jameel League,LM,Brazil,Right,3,3,Medium/Medium,Normal (170-185),No,11500000,80,74,65,78,44,64
G. Nkoudou,Georges-Kévin Nkoudou Mbida,75,76,26,172,75,Beşiktaş JK,Turkish Süper Lig,LW,France,Right,4,3,High/Low,Lean (170-185),Yes,12800000,94,67,68,80,34,59
R. Martínez,Roger Beyker Martínez Tobinson,75,76,27,180,89,Club América,Mexican Liga MX,LS,Colombia,Right,4,3,High/Low,Normal (170-185),Yes,11500000,83,74,64,77,35,78
N. Camacho,Néstor Abraham Camacho Ledesma,75,75,33,175,68,Club Olimpia,Paraguayan Primera División,SUB,Paraguay,Left,4,3,Medium/Medium,Normal (170-185),No,7700000,81,73,72,75,42,54
E. Valencia,Enner Remberto Valencia Lastra,75,75,31,177,74,Fenerbahçe SK,Turkish Süper Lig,ST,Ecuador,Right,3,4,High/High,Normal (170-185),No,9100000,88,74,66,73,46,75
Jaume,Jaume Doménech Sánchez,75,75,30,185,73,Valencia CF,Spain Primera Division,SUB,Spain,Right,3,1,Medium/Medium,Lean (185+),Yes,7800000,,,,,,
D. Gray,Demarai Gray,75,78,25,183,75,Everton,English Premier League,CAM,England,Right,3,4,Medium/Medium,Lean (170-185),Yes,14800000,86,71,67,80,37,55
H. Wilson,Harry Wilson,75,81,24,173,70,Fulham,English League Championship,RM,Wales,Left,3,3,High/Medium,Normal (170-185),Yes,18900000,77,78,75,75,45,56
F. Honorat,Franck Honorat,75,77,24,180,70,Stade Brestois 29,French Ligue 1,RM,France,Right,2,4,High/Medium,Lean (170-185),No,15600000,77,73,71,76,47,57
J. Aholou,Jean-Eudès Aholou,75,78,27,186,71,RC Strasbourg Alsace,French Ligue 1,SUB,Côte d'Ivoire,Left,3,3,Medium/Medium,Normal (185+),No,,67,64,66,69,73,77
S. Sydorchuk,Serhiy Sydorchuk,75,75,30,189,80,Dynamo Kyiv,Ukrainian Premier League,CDM,Ukraine,Right,3,3,High/High,Normal (185+),No,10300000,66,68,67,68,72,72
Carlos Fernández,Carlos Fernández Luna,75,80,25,186,72,Real Sociedad,Spain Primera Division,SUB,Spain,Left,4,3,Medium/Medium,Lean (185+),No,18500000,69,77,64,76,27,71
N. Vukčević,Nikola Vukčević,75,75,29,184,76,Levante Unión Deportiva,Spain Primera Division,SUB,Montenegro,Left,3,3,Medium/High,Normal (170-185),No,11600000,54,62,69,71,76,79
E. Gómez,Elías José Gómez,75,75,27,174,79,Argentinos Juniors,Argentina Primera División,LWB,Argentina,Left,3,3,High/Medium,Stocky (170-185),No,8300000,81,57,67,73,68,75
S. Driussi,Sebastián Driussi,75,79,25,179,79,Austin FC,USA Major League Soccer,ST,Argentina,Right,2,3,High/Medium,Normal (170-185),No,12200000,81,74,71,75,26,69
J. Riedewald,Jaïro Riedewald,75,78,24,182,79,Crystal Palace,English Premier League,SUB,Netherlands,Left,2,3,Medium/Medium,Normal (170-185),Yes,13800000,60,56,74,69,74,70
J. Gradit,Jonathan Gradit,75,76,28,180,75,Racing Club de Lens,French Ligue 1,RCB,France,Right,2,2,Medium/High,Normal (170-185),No,11400000,71,29,60,66,75,82
Pablo Maffeo,Pablo Carmine Maffeo Becerra,75,82,23,172,70,RCD Mallorca,Spain Primera Division,RB,Spain,Right,3,3,High/Medium,Normal (170-185),Yes,,85,52,67,73,72,69
S. Ingason,Sverrir Ingi Ingason,75,77,27,188,83,PAOK,Greek Super League,SUB,Iceland,Right,3,2,Low/Medium,Normal (185+),No,13700000,62,53,56,55,76,75
U. Đurđević,Uroš Đurđević,75,76,27,182,80,Real Sporting de Gijón,Spanish Segunda División,ST,Montenegro,Right,2,3,High/Medium,Normal (170-185),No,10900000,79,79,54,70,31,85
Wu Lei,武磊,75,75,29,174,66,RCD Espanyol de Barcelona,Spain Primera Division,SUB,China PR,Right,3,3,High/Medium,Lean (170-185),Yes,11600000,83,71,69,76,40,69
L. Acosta,Luciano Federico Acosta,75,76,27,161,59,FC Cincinnati,USA Major League Soccer,CAM,Argentina,Right,3,5,High/Medium,Normal (170-),Yes,9900000,79,67,70,82,46,56
Mariano,Mariano Díaz Mejía,75,75,27,180,76,Real Madrid CF,Spain Primera Division,RES,Dominican Republic,Right,4,3,Medium/Medium,Normal (170-185),No,12300000,76,78,61,72,45,78
Lee Jae Sung,이재성 李在成,75,75,28,180,70,1. FSV Mainz 05,German 1. Bundesliga,SUB,Korea Republic,Left,4,3,High/High,Lean (170-185),No,9900000,69,57,75,78,53,62
A. Zeneli,Arbër Zeneli,75,76,26,176,72,Stade de Reims,French Ligue 1,SUB,Kosovo,Right,3,4,Medium/Medium,Normal (170-185),No,13500000,81,70,70,80,35,59
A. Long,Aaron Long,75,77,28,185,86,New York Red Bulls,USA Major League Soccer,SUB,United States,Right,3,2,High/High,Normal (185+),Yes,8400000,80,40,56,63,74,83
O. Duda,Ondrej Duda,75,78,26,181,75,1. FC Köln,German 1. Bundesliga,SUB,Slovakia,Right,4,4,Medium/High,Lean (170-185),Yes,14100000,65,73,72,79,53,64
A. Cubas,Adrián Andrés Cubas,75,79,25,166,60,Nîmes Olympique,French Ligue 2,CDM,Paraguay,Right,2,3,High/High,Lean (170-),No,13100000,69,52,68,73,74,59
E. Unsain,Luis Ezequiel Unsain,75,78,26,188,83,Defensa y Justicia,Argentina Primera División,GK,Argentina,Right,3,1,Medium/Medium,Lean (185+),No,8700000,,,,,,
M. Nakamba,Marvelous Nakamba,75,77,27,178,71,Aston Villa,English Premier League,SUB,Zimbabwe,Left,2,3,Low/High,Normal (170-185),Yes,11900000,70,49,62,71,74,78
D. Kuzyaev,Daler Kuzyaev,75,75,28,182,74,,,,Russia,Right,3,3,Medium/High,Lean (170-185),No,,80,68,73,77,72,66
F. Cervi,Franco Emanuel Cervi,75,75,27,165,62,RC Celta de Vigo,Spain Primera Division,SUB,Argentina,Left,3,4,High/High,Normal (170-),Yes,12600000,88,65,68,80,48,55
E. Ünal,Enes Ünal,75,81,24,187,78,Getafe CF,Spain Primera Division,RS,Turkey,Right,3,3,High/Medium,Normal (185+),Yes,20700000,68,77,64,76,36,77
J. Sambia,Salomon Junior Sambia,75,80,24,185,73,Montpellier Hérault SC,French Ligue 1,RB,France,Right,4,3,High/Medium,Lean (185+),No,16600000,75,69,72,74,71,70
S. Posch,Stefan Posch,75,79,24,189,82,TSG Hoffenheim,German 1. Bundesliga,RCB,Austria,Right,3,2,Medium/Medium,Lean (185+),Yes,12400000,71,29,50,43,79,71
V. Muriqi,Vedat Muriqi,75,76,27,194,86,Lazio,Italian Serie A,SUB,Kosovo,Left,3,3,High/Medium,Normal (185+),No,11500000,56,75,55,67,28,82
A. Nübel,Alexander Nübel,75,80,24,193,88,AS Monaco,French Ligue 1,GK,Germany,Right,5,1,Medium/Medium,Normal (185+),Yes,,,,,,,
A. Bouchalakis,Andreas Bouchalakis,75,75,28,186,79,Olympiacos CFP,Greek Super League,LCM,Greece,Left,4,3,Medium/Medium,Normal (185+),No,11600000,57,72,74,71,71,77
M. Lopez,Maxime Lopez,75,79,23,167,58,U.S. Sassuolo Calcio,Italian Serie A,LDM,France,Right,3,4,Medium/Medium,Lean (170-),Yes,14200000,71,66,77,77,65,57
D. Blanco,Domingo Felipe Blanco,75,76,26,167,63,Club Atlético Independiente,Argentina Primera División,SUB,Argentina,Right,3,4,High/High,Normal (170-),Yes,10200000,83,67,75,81,66,66
F. Kamano,François Kamano,75,78,25,175,74,FC Lokomotiv Moscow,Russian Premier League,LS,Guinea,Right,4,4,Medium/Medium,Normal (170-185),No,12600000,85,73,67,77,35,61
K. Ajer,Kristoffer Vassbakk Ajer,75,83,23,196,94,Brentford,English Premier League,RCB,Norway,Right,3,3,High/Medium,Normal (185+),No,25300000,73,55,61,68,75,83
L. Cook,Lewis Cook,75,80,24,175,71,AFC Bournemouth,English League Championship,SUB,England,Right,4,3,Medium/Medium,Normal (170-185),Yes,16800000,68,63,75,77,66,67
M. Wolf,Marius Wolf,75,76,26,188,81,Borussia Dortmund,German 1. Bundesliga,RES,Germany,Right,4,3,High/Medium,Lean (185+),Yes,11500000,84,70,70,75,67,76
H. Belkebla,Haris Belkebla,75,77,27,177,68,Stade Brestois 29,French Ligue 1,LDM,Algeria,Right,3,3,Medium/High,Lean (170-185),No,12500000,60,49,71,72,70,73
W. Bou,Walter Ariel Bou,75,75,27,174,74,Defensa y Justicia,Argentina Primera División,LF,Argentina,Right,2,3,High/Medium,Normal (170-185),No,9000000,75,75,68,75,46,74
J. Rodríguez,Jorge Agustín Rodríguez,75,80,25,179,80,Estudiantes de La Plata,Argentina Primera División,RDM,Argentina,Right,2,2,Medium/Medium,Stocky (170-185),No,11800000,59,61,63,67,73,77
N. Radoja,Nemanja Radoja,75,75,28,186,77,Levante Unión Deportiva,Spain Primera Division,SUB,Serbia,Right,4,3,Medium/Medium,Normal (185+),Yes,11600000,61,61,71,74,74,75
C. Roberts,Connor Roberts,75,78,25,175,76,Burnley,English Premier League,SUB,Wales,Right,4,3,High/Medium,Normal (170-185),Yes,13800000,80,48,65,68,68,72
Vallejo,Jesús Vallejo Lázaro,75,79,24,184,79,Real Madrid CF,Spain Primera Division,RES,Spain,Right,3,2,Low/High,Lean (170-185),Yes,14900000,68,42,57,63,76,68
H. Diallo,Habibou Mouhamadou Diallo,75,78,26,186,79,RC Strasbourg Alsace,French Ligue 1,SUB,Senegal,Right,3,3,Medium/Low,Normal (185+),No,15600000,72,74,55,72,23,72
Rúben Lameiras,Rúben Barcelos De Sousa Lameiras,75,76,26,175,70,Vitória de Guimarães,Portuguese Liga ZON SAGRES,SUB,Portugal,Left,3,4,Medium/Low,Normal (170-185),No,14100000,76,71,72,79,42,64
I. Kahveci,İrfan Can Kahveci,75,78,25,176,67,Fenerbahçe SK,Turkish Süper Lig,RES,Turkey,Left,4,4,High/Medium,Normal (170-185),No,14800000,77,68,76,78,65,71
R. Mandragora,Rolando Mandragora,75,81,24,183,75,Torino F.C.,Italian Serie A,RCM,Italy,Left,3,3,Medium/High,Lean (170-185),No,,57,63,74,75,74,76
Hernani,Hernani Azevedo Júnior,75,78,27,188,77,Genoa,Italian Serie A,RCM,Brazil,Right,4,3,High/Medium,Lean (185+),No,,65,69,69,72,74,70
G. Kerk,Gyrano Kerk,75,77,25,184,82,FC Lokomotiv Moscow,Russian Premier League,SUB,Netherlands,Right,2,3,High/Medium,Normal (170-185),No,11700000,93,70,65,75,34,74
Anuar,Anuar Mohamed Tuhami,75,80,26,174,69,Real Valladolid CF,Spanish Segunda División,SUB,Morocco,Right,3,3,High/High,Normal (170-185),Yes,12600000,74,62,69,72,73,72
Cesinha,Cesar Fernando Silva dos Santos,75,75,31,177,74,Daegu FC,Korean K League 1,RS,Brazil,Right,5,5,High/Medium,Normal (170-185),No,5900000,79,78,72,75,32,70
T. Cantwell,Todd Cantwell,75,82,23,177,70,Norwich City,English Premier League,RM,England,Right,2,4,High/Medium,Lean (170-185),Yes,25300000,72,68,72,78,39,51
A. Maitland-Niles,Ainsley Maitland-Niles,75,81,23,177,71,Arsenal,English Premier League,RES,England,Right,3,4,Medium/Medium,Lean (170-185),Yes,16800000,81,63,70,77,71,72
J. Gallardo,Jesús Daniel Gallardo Vasconcelos,75,76,26,176,73,CF Monterrey,Mexican Liga MX,LB,Mexico,Left,3,3,High/Low,Normal (170-185),No,10100000,82,67,71,75,69,73
Trezeguet,Mahmoud Ahmed Ibrahim Hassan,75,76,26,180,71,Aston Villa,English Premier League,SUB,Egypt,Right,4,4,High/High,Normal (170-185),Yes,12800000,77,73,71,78,36,66
M. Eggestein,Maximilian Eggestein,75,81,24,181,75,Sport-Club Freiburg,German 1. Bundesliga,SUB,Germany,Right,4,3,High/High,Normal (170-185),Yes,18000000,63,67,72,77,70,76
Kaku,Alejandro Sebastián Romero Gamarra,75,77,26,171,68,Al Taawoun,Saudi Abdul L. Jameel League,CAM,Paraguay,Left,3,4,High/Medium,Normal (170-185),Yes,12100000,82,68,73,77,52,65
M. Díaz,Marcos Guillermo Díaz,75,75,35,187,87,Club Atlético Huracán,Argentina Primera División,GK,Argentina,Right,2,1,Medium/Medium,Normal (185+),No,906000,,,,,,
Hwang Hee Chan,황희찬 黄喜灿,75,78,25,177,77,Wolverhampton Wanderers,English Premier League,SUB,Korea Republic,Right,4,3,High/Medium,Normal (170-185),Yes,,84,75,70,79,28,68
Andrei Girotto,Andrei Girotto,75,75,29,186,79,FC Nantes,French Ligue 1,SUB,Brazil,Right,3,2,Medium/Medium,Lean (185+),No,9400000,55,65,66,67,77,73
V. Janssen,Vincent Janssen,75,76,27,184,79,CF Monterrey,Mexican Liga MX,SUB,Netherlands,Left,4,3,High/High,Normal (170-185),Yes,10900000,75,73,62,69,39,84
T. Minamino,南野 拓実,75,76,26,174,67,Liverpool,English Premier League,RES,Japan,Right,4,3,High/Medium,Lean (170-185),No,12500000,79,73,69,81,36,63
C. Larin,Cyle Christopher Larin,75,76,26,188,90,Beşiktaş JK,Turkish Süper Lig,SUB,Canada,Right,4,3,High/Low,Normal (185+),Yes,12800000,71,74,59,70,26,80
C. Roldan,Cristian Roldán León,75,78,26,173,75,Seattle Sounders FC,USA Major League Soccer,RCM,United States,Right,4,3,High/High,Normal (170-185),Yes,10200000,71,67,70,75,70,79
